ID,Name,Reference,DOI,Year,Journal,Kingdom,Genus,Species,MX State,Location,SMILES,SlogP,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,Original database
FQNP14,6 6'' 3'''-trihydroxy-7 3' 7''-O-trimethylloniflavone,J Nat Prod 2017 80 (5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal of Natural Products,Plant,Salvia,Salvia circinata,Puebla,Huauchinango,COc1cc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)ccc1Oc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1OC,5.8825,187.49,642.1373409,8,4,13,BIOFACQUIM
FQNP140,Vitexin,J Ethnopharmacol 2012;142(3):857-64,10.1016/j.jep.2012.06.018,2012,Journal of Ethnopharmacology,Plant,Phoradendron,Phoradendron serotinum,Nuevo Leon,Santa Catarina,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,0.0917,181.05,432.1056468,3,7,10,BIOFACQUIM
FQNP141,Masticadienonic acid,J Ethnopharmacol 2011;134(1):67-73,10.1016/j.jep.2010.11.057,2011,Journal of Ethnopharmacology,Plant,Amphipterygium,Amphipterygium adstringens,Morelos,Barranca Honda,C/C(=C/CC[C@@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C)C(=O)O,7.6079,54.37,454.3446953,5,1,2,BIOFACQUIM
FQNP142,3a-hydroxymasticadienolic acid,J Ethnopharmacol 2011;134(1):67-73,10.1016/j.jep.2010.11.057,2011,Journal of Ethnopharmacology,Plant,Amphipterygium,Amphipterygium adstringens,Morelos,Barranca Honda,C/C(=C/CC[C@@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C)C(=O)O,7.3997,57.53,456.3603454,5,2,2,BIOFACQUIM
FQNP143,b-amyrin,J Ethnopharmacol 2011;134(1):67-73,10.1016/j.jep.2010.11.057,2011,Journal of Ethnopharmacology,Plant,Cyrtocarpa,Cyrtocarpa procera,Morelos,Barranca Honda,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,8.1689,20.23,426.3861662,0,1,1,BIOFACQUIM
FQNP144,b-sitosterol,J Ethnopharmacol 2011;134(1):67-73,10.1016/j.jep.2010.11.057,2011,Journal of Ethnopharmacology,Plant,Cyrtocarpa,Cyrtocarpa procera,Morelos,Barranca Honda,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,8.0248,20.23,414.3861662,6,1,1,BIOFACQUIM
FQNP145,Hofmeisterin III,J Ethnopharmacol 2010;131(2):425-32,10.1016/j.jep.2010.07.009,2010,Journal of Ethnopharmacology,Plant,Hofmeisteria,Hofmeisteria schaffneri,San Luis Potosi,San Luis Potosi,C/C=C/C(=O)Oc1cc(C)ccc1C(C)C,3.59992,26.3,218.1306798,3,0,2,BIOFACQUIM
FQNP146,Thymol,J Ethnopharmacol 2010;131(2):425-32,10.1016/j.jep.2010.07.009,2010,Journal of Ethnopharmacology,Plant,Hofmeisteria,Hofmeisteria schaffneri,San Luis Potosi,San Luis Potosi,Cc1ccc(C(C)C)c(O)c1,2.82402,20.23,150.1044651,1,1,1,BIOFACQUIM
FQNP147,8 9-epoxy-10-acetoxythymyl angelate,J Ethnopharmacol 2010;131(2):425-32,10.1016/j.jep.2010.07.009,2010,Journal of Ethnopharmacology,Plant,Hofmeisteria,Hofmeisteria schaffneri,San Luis Potosi,San Luis Potosi,C/C=C(/C)C(=O)Oc1cc(C)ccc1C1(C(C)=O)CO1,2.68112,55.9,274.1205091,4,0,4,BIOFACQUIM
FQNP148,6-[16'Z-nonadecenyl] salicylic acid,Nat Prod Res 2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural Products Research,Plant,Amphipterygium,Amphipterygium adstringens,Not specified,Not specified,CC/C=C\CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,8.0605,57.53,402.3133952,18,2,2,BIOFACQUIM
FQNP149,6-[8'Z-pentadecenyl] salicylic acid,Nat Prod Res 2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural Products Research,Plant,Amphipterygium,Amphipterygium adstringens,Not specified,Not specified,CCCCCC/C=C\CCCCCCCc1cccc(O)c1C(=O)O,6.5001,57.53,346.2507949,14,2,2,BIOFACQUIM
FQNP15,(2S 5S 8R 9R 10R)-2-(O-b-D-glucopyranosyl)-neocleroda-3-en-9-oxobutyl-18 19-olide,J Nat Prod 2017 80 (5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal of Natural Products,Plant,Salvia,Salvia circinata,Puebla,Huauchinango,CC(=O)CC[C@]1(C)C2C[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C3C(=O)OC[C@]32CC[C@H]1C,0.4664,142.75,468.2359327,6,4,9,BIOFACQUIM
FQNP150,6-nonadecyl salicylic acid,Nat Prod Res 2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural Products Research,Plant,Amphipterygium,Amphipterygium adstringens,Not specified,Not specified,CCCCCCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,8.2845,57.53,404.3290453,19,2,2,BIOFACQUIM
FQNP151,6-pentadecyl salicylic acid,Nat Prod Res 2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural Products Research,Plant,Amphipterygium,Amphipterygium adstringens,Not specified,Not specified,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,6.7241,57.53,348.266445,15,2,2,BIOFACQUIM
FQNP152,Masticadienonic acid,Nat Prod Res 2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural Products Research,Plant,Amphipterygium,Amphipterygium adstringens,Not specified,Not specified,C/C(=C\CC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)C3CC[C@@]12C)C(=O)O,7.6079,54.37,454.3446953,5,1,2,BIOFACQUIM
FQNP153,3a-hydroxymasticadienoic acid,Nat Prod Res 2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural Products Research,Plant,Amphipterygium,Amphipterygium adstringens,Not specified,Not specified,C/C(=C\CC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)[C@H](O)CC[C@]4(C)C3CC[C@@]12C)C(=O)O,7.3997,57.53,456.3603454,5,2,2,BIOFACQUIM
FQNP154,3-epioleanolic acid,Nat Prod Res 2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural Products Research,Plant,Amphipterygium,Amphipterygium adstringens,Not specified,Not specified,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@@H](O)C(C)(C)C5CC[C@]43C)C2C1,7.2336,57.53,456.3603454,1,2,2,BIOFACQUIM
FQNP155,Brevipolides G,J Nat Prod 2013 76 (1):72-78,10.1021/np300740h,2013,Journal of Natural Products,Plant,Hyptis,Hyptis brevipes,Veracruz,Dos Rıos,C[C@H](OC(=O)/C=C/c1ccc(O)cc1)C(=O)[C@H]1C[C@@H]1[C@H](O)[C@H]1CC=CC(=O)O1,1.7749,110.13,386.136553,7,2,7,BIOFACQUIM
FQNP156,Brevipolides H,J Nat Prod 2013 76 (1):72-78,10.1021/np300740h,2013,Journal of Natural Products,Plant,Hyptis,Hyptis brevipes,Veracruz,Dos Rıos,COc1ccc(/C=C/C(=O)O[C@@H](C)C(=O)[C@H]2C[C@@H]2[C@H](O)[C@H]2CC=CC(=O)O2)cc1,2.0779,99.13,400.1522031,8,1,7,BIOFACQUIM
FQNP157,Brevipolides I,J Nat Prod 2013 76 (1):72-78,10.1021/np300740h,2013,Journal of Natural Products,Plant,Hyptis,Hyptis brevipes,Veracruz,Dos Rıos,COc1ccc(/C=C\C(=O)O[C@@H](C)C(=O)[C@H]2C[C@@H]2[C@H](O)[C@H]2CC=CC(=O)O2)cc1,2.0779,99.13,400.1522031,8,1,7,BIOFACQUIM
FQNP158,Brevipolides J,J Nat Prod 2013 76 (1):72-78,10.1021/np300740h,2013,Journal of Natural Products,Plant,Hyptis,Hyptis brevipes,Veracruz,Dos Rıos,COc1ccc(/C=C/C(=O)O[C@@H](C)C(=O)[C@H]2C[C@@H]2[C@H](O)[C@H]2CC=CC(=O)O2)cc1O,1.7835,119.36,416.1471177,8,2,8,BIOFACQUIM
FQNP159,6-acetyl-5-hydroxy-2 2-dimethyl-2H-chromene,J Nat Prod 2012 75 (5):968-974,10.1021/np300204p,2012,Journal of Natural Products,Plant,Brickellia,Brickellia cavanillesii,Morelos,Yecapixtla,CC(=O)c1ccc2c(c1O)C=CC(C)(C)O2,2.779,46.53,218.0942943,1,1,3,BIOFACQUIM
FQNP16,(2S 5S 8R 9R 10R)-2-(O-b-D-glucopyranosyl)neocleroda-3 13-diene-14 15;18 19-diolide,J Nat Prod 2017 80 (5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal of Natural Products,Plant,Salvia,Salvia circinata,Puebla,Huauchinango,C[C@@H]1CC[C@@]23COC(=O)C2=C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC3[C@@]1(C)CCC1=CCOC1=O,0.3606,151.98,508.2308474,6,4,10,BIOFACQUIM
FQNP160,6-Acetoxyacetyl-5-hydroxy-2 2-dimethyl-2H-chromene,J Nat Prod 2012 75 (5):968-974,10.1021/np300204p,2012,Journal of Natural Products,Plant,Brickellia,Brickellia cavanillesii,Morelos,Yecapixtla,CC1(C)C=Cc2c(ccc(C(=O)CO)c2O)O1,1.7514,66.76,234.0892089,2,2,4,BIOFACQUIM
FQNP161,Calein B,J Nat Prod 2012 75 (5):968-974,10.1021/np300204p,2012,Journal of Natural Products,Plant,Brickellia,Brickellia cavanillesii,Morelos,Yecapixtla,C=C1C(=O)O[C@@H]2C[C@@H](C)/C=C\C(=O)[C@](C)(O)[C@H](OC(C)=O)[C@@H](OC(=O)/C(C)=C\C)[C@@H]12,1.81,116.2,420.1784179,3,1,8,BIOFACQUIM
FQNP164,Genkwanin,J Nat Prod 2012 75 (5):968-974,10.1021/np300204p,2012,Journal of Natural Products,Plant,Brickellia,Brickellia cavanillesii,Morelos,Yecapixtla,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,2.8798,79.9,284.0684735,2,2,5,BIOFACQUIM
FQNP165,Isorhamnetin,J Nat Prod 2012 75 (5):968-974,10.1021/np300204p,2012,Journal of Natural Products,Plant,Brickellia,Brickellia cavanillesii,Morelos,Yecapixtla,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,2.291,120.36,316.0583027,2,4,7,BIOFACQUIM
FQNP166,Kaempferol,J Nat Prod 2012 75 (5):968-974,10.1021/np300204p,2012,Journal of Natural Products,Plant,Brickellia,Brickellia cavanillesii,Morelos,Yecapixtla,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,2.2824,111.13,286.047738,1,4,6,BIOFACQUIM
FQNP167,Quercetin,J Nat Prod 2012 75 (5):968-974,10.1021/np300204p,2012,Journal of Natural Products,Plant,Brickellia,Brickellia cavanillesii,Morelos,Yecapixtla,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1.988,131.36,302.0426527,1,5,7,BIOFACQUIM
FQNP168,3 5-di-O-caffeoylquinic acid,J Nat Prod 2012 75 (5):968-974,10.1021/np300204p,2012,Journal of Natural Products,Plant,Brickellia,Brickellia cavanillesii,Morelos,Yecapixtla,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1CC(O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1O,1.0296,211.28,516.1267762,7,7,11,BIOFACQUIM
FQNP169,(Z)-6 6' 7 3'a-diligustilide,J Nat Prod 2011 74 (3):314-320,10.1021/np100447a,2011,Journal of Natural Products,Plant,Ligusticum,Ligusticum porteri,Chihuahua,Basigochi,CCC/C=C1\OC(=O)C2=C[C@H]3CC[C@]21C1C2=C(CC[C@H]13)/C(=C\CCC)OC2=O,5.1272,52.6,380.1987594,4,0,4,BIOFACQUIM
FQNP17,(2S 5S 8R 9R 10R)-2-(O-b-D-glucopyranosyl)neocleroda-14-methoxy-3 13-diene-15 14;18 19-diolide,J Nat Prod 2017 80 (5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal of Natural Products,Plant,Salvia,Salvia circinata,Puebla,Huauchinango,COC1OC(=O)C=C1CC[C@]1(C)C2C[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C3C(=O)OC[C@]32CC[C@H]1C,0.3331,161.21,538.241412,7,4,11,BIOFACQUIM
FQNP170,(Z)-ligustilide,J Nat Prod 2011 74 (3):314-320,10.1021/np100447a,2011,Journal of Natural Products,Plant,Ligusticum,Ligusticum porteri,Chihuahua,Basigochi,CCC/C=C1/OC(=O)C2=C1CCC=C2,2.8738,26.3,190.0993797,2,0,2,BIOFACQUIM
FQNP171,(Z)-3-butylidenephthalide,J Nat Prod 2011 74 (3):314-320,10.1021/np100447a,2011,Journal of Natural Products,Plant,Ligusticum,Ligusticum porteri,Chihuahua,Basigochi,CCC/C=C1/OC(=O)c2ccccc21,2.998,26.3,188.0837296,2,0,2,BIOFACQUIM
FQNP172,Myristicin,J Nat Prod 2011 74 (3):314-320,10.1021/np100447a,2011,Journal of Natural Products,Plant,Ligusticum,Ligusticum porteri,Chihuahua,barranca Honda,C=CCc1cc(OC)c2c(c1)OCO2,2.1524,27.69,192.0786442,3,0,3,BIOFACQUIM
FQNP173,Ferulic acid,J Nat Prod 2011 74 (3):314-320,10.1021/np100447a,2011,Journal of Natural Products,Plant,Ligusticum,Ligusticum porteri,Chihuahua,Basigochi,COc1cc(/C=C/C(=O)O)ccc1O,1.4986,66.76,194.0579088,3,2,3,BIOFACQUIM
FQNP174,Acremoxanthone C,J Nat Prod 2013 76 (8):1454-1460,10.1021/np4002477,2013,Journal of Natural Products,Fungus,Purpureocillium,Purpureocillium lilacinum,Guerrero,Juxtlahuaca,COC(=O)[C@@]12Oc3c(c(O)cc4c3[C@@H]3C=C[C@]5(C4)C(=C(O)c4c(O)cc(C)cc4[C@@H]5OC(C)=O)C3=O)C(=O)C1=C(O)C=C[C@H]2O,2.98802,197.12,614.1424263,2,5,12,BIOFACQUIM
FQNP175,Acremonidin A,J Nat Prod 2013 76 (8):1454-1460,10.1021/np4002477,2013,Journal of Natural Products,Fungus,Purpureocillium,Purpureocillium lilacinum,Guerrero,Juxtlahuaca,COC(=O)c1c(O)ccc(O)c1C(=O)c1c(O)cc2c(c1O)[C@@H]1C=C[C@]3(C2)C(=C(O)c2c(O)cc(C)cc2[C@@H]3OC(C)=O)C1=O,3.89272,208.12,614.1424263,4,6,12,BIOFACQUIM
FQNP18,(2S 5S 8R 9R 10R 15S)-2-(O-b-D-glucopyranosyl)neocleroda-15-methoxy-3 13-diene-14 15;18 19-diolide,J Nat Prod 2017 80 (5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal of Natural Products,Plant,Salvia,Salvia circinata,Puebla,Huauchinango,CO[C@@H]1C=C(CC[C@]2(C)C3C[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C4C(=O)OC[C@]43CC[C@H]2C)C(=O)O1,0.3331,161.21,538.241412,7,4,11,BIOFACQUIM
FQNP182,Neoadenostylone,J Nat Prod 2012 75 (5):890-895,10.1021/np2009412,2012,Journal of Natural Products,Plant,Packera,Packera bellidifolia,Chihuahua,Creel and Bocoyna,C/C=C(/C)C(=O)O[C@@H]1c2c(C)coc2C(=O)C2=CCC[C@H](C)[C@]21C,4.69742,56.51,328.1674592,2,0,4,BIOFACQUIM
FQNP183,6-(2-a-methylbutanoyloxy)-9-oxo-1(10)-furanoeremophilene,J Nat Prod 2012 75 (5):890-895,10.1021/np2009412,2012,Journal of Natural Products,Plant,Packera,Packera bellidifolia,Chihuahua,Creel and Bocoyna,CC[C@H](C)C(=O)O[C@H]1c2c(C)coc2C(=O)C2=CCC[C@H](C)[C@]21C,4.77732,56.51,330.1831093,3,0,4,BIOFACQUIM
FQNP184,Epineoadenostylone,J Nat Prod 2012 75 (5):890-895,10.1021/np2009412,2012,Journal of Natural Products,Plant,Packera,Packera bellidifolia,Chihuahua,Creel and Bocoyna,C/C=C(/C)C(=O)O[C@H]1c2c(C)coc2C(=O)C2=CCC[C@H](C)[C@]21C,4.69742,56.51,328.1674592,2,0,4,BIOFACQUIM
FQNP185,Epicacalone,J Nat Prod 2012 75 (5):890-895,10.1021/np2009412,2012,Journal of Natural Products,Plant,Packera,Packera bellidifolia,Chihuahua,Creel and Bocoyna,Cc1coc2c1[C@@](C)(O)C1=C(CCC[C@@H]1C)C2=O,3.10842,50.44,246.1255944,0,1,3,BIOFACQUIM
FQNP186,2β-hydroxyneoadenostylone,J Nat Prod 2012 75 (5):890-895,10.1021/np2009412,2012,Journal of Natural Products,Plant,Packera,Packera bellidifolia,Chihuahua,Creel and Bocoyna,C/C=C(/C)C(=O)O[C@@H]1c2c(C)coc2C(=O)C2=C[C@H](O)C[C@H](C)[C@]21C,3.66822,76.74,344.1623739,2,1,5,BIOFACQUIM
FQNP187,Corymbiferone C,Phytochemistry 2013;96:273-8,10.1016/j.phytochem.2013.09.006,2013,Phytochemistry,Fungus,Sporormiella,Sporormiella minimoides,Michoacan,Huetamo,COC1=CC(=O)c2c(C)cc(OC)c3c(=O)occ1c23,2.29362,65.74,272.0684735,2,0,5,BIOFACQUIM
FQNP188,Corymbiferan lactone E,Phytochemistry 2013;96:273-8,10.1016/j.phytochem.2013.09.006,2013,Phytochemistry,Fungus,Sporormiella,Sporormiella minimoides,Michoacan,Huetamo,COc1cc(C)c2c(OC)cc(O)c3c2c1C(=O)OC3OC,2.68642,74.22,304.0946882,3,1,6,BIOFACQUIM
FQNP19,Amarisolide,J Nat Prod 2017 80 (5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal of Natural Products,Plant,Salvia,Salvia circinata,Puebla,Huauchinango,C[C@@H]1CC[C@@]23COC(=O)C2=C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC3[C@@]1(C)CCc1ccoc1,1.323,138.82,492.2359327,6,4,9,BIOFACQUIM
FQNP191,Ziganein,Phytochemistry 2013;96:273-8,10.1016/j.phytochem.2013.09.006,2013,Phytochemistry,Fungus,Sporormiella,Sporormiella minimoides,Michoacan,Huetamo,Cc1cc(O)c2c(c1)C(=O)c1c(O)cccc1C2=O,2.18162,74.6,254.0579088,0,2,4,BIOFACQUIM
FQNP192,Brocaenol B,Phytochemistry 2013;96:273-8,10.1016/j.phytochem.2013.09.006,2013,Phytochemistry,Fungus,Sporormiella,Sporormiella minimoides,Michoacan,Huetamo,COC(=O)[C@]12Oc3cccc(O)c3C(=O)C1=C(OC)OC=C(C)C2=O,1.2402,108.36,346.0688674,2,1,8,BIOFACQUIM
FQNP193,Prunasin,Molecules 2015;20(8):15330-42,10.3390/molecules200815330,2015,Molecules,Plant,Vauquelinia,Vauquelinia corymbosa,Chihuahua,San Borja,N#C[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,-0.93222,123.17,295.1055873,4,4,7,BIOFACQUIM
FQNP194,(-)-epi-catechin,Molecules 2015;20(8):15330-42,10.3390/molecules200815330,2015,Molecules,Plant,Vauquelinia,Vauquelinia corymbosa,Chihuahua,San Borja,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C2,1.5461,110.38,290.0790382,1,5,6,BIOFACQUIM
FQNP195,Hyperoside,Molecules 2015;20(8):15330-42,10.3390/molecules200815330,2015,Molecules,Plant,Vauquelinia,Vauquelinia corymbosa,Chihuahua,San Borja,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-0.5389,210.51,464.0954761,4,8,12,BIOFACQUIM
FQNP196,Isoquercetin,Molecules 2015;20(8):15330-42,10.3390/molecules200815330,2015,Molecules,Plant,Vauquelinia,Vauquelinia corymbosa,Chihuahua,San Borja,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-0.5389,210.51,464.0954761,4,8,12,BIOFACQUIM
FQNP197,Quercitrin,Molecules 2015;20(8):15330-42,10.3390/molecules200815330,2015,Molecules,Plant,Vauquelinia,Vauquelinia corymbosa,Chihuahua,San Borja,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,0.4887,190.28,448.1005615,3,7,11,BIOFACQUIM
